table_file,row_count,columns,likely_use
frozen_data_v2/freeze_manifest.json,1,generated_at;attestations;records;fields;out_dir;authority_distribution;corridor_distribution;period_distribution;target_analysis_exported;target_analysis_rows;target_control_distribution,supporting or audit table
frozen_data_v2/target_binding_analysis_frozen.csv,213,attestation_id;year;date;period;brand_or_category;city;province;corridor;source_type;source_name;source_url;attestation_type;text_for_scoring;confidence;notes;source_id;verification_level;region;original_text;dish_marker;taiwan_marker;ownership_category;capital_origin;source_url_or_archive_ref;dedupe_key;merged_from_attestation_ids;merged_row_count;novelty_score;avg_text_similarity;novelty_group_size;novelty_group_key;authority_level;authority_weight;authority_reason;capture_id;search_id;analysis_weight;historical_binding_raw;weighted_historical_binding;target_binding_raw;target_control_type;negative_type,supporting or audit table
frozen_data_v2/target_binding_by_period_corridor_type.csv,8,period;corridor;target_control_type;weighted_binding_index;weight_sum;row_count,frozen binding index table
frozen_data_v2/target_binding_by_year_corridor.csv,84,year;corridor;weighted_binding_index;weight_sum;row_count,frozen binding index table
outputs/consumer_reinterpretation_gap.csv,1,merchant_id;city;shop_name;review_count;binding_present;merchant_geographic_score;consumer_geographic_mean_score;gap_geographic;merchant_nostalgia_score;consumer_nostalgia_mean_score;gap_nostalgia;merchant_night_market_score;consumer_night_market_mean_score;gap_night_market;merchant_authenticity_score;consumer_authenticity_mean_score;gap_authenticity;merchant_platform_fast_food_score;consumer_platform_fast_food_mean_score;gap_platform_fast_food,supporting or audit table
outputs/evidence_audit/period_quota_audit.csv,7,period;usable_attestations;target_attestations;coverage_ratio;meets_half_quota;meets_full_quota,supporting or audit table
outputs/evidence_audit/region_counts.csv,13,key;usable_attestations,supporting or audit table
outputs/evidence_audit/source_type_counts.csv,104,key;usable_attestations,supporting or audit table
outputs/evidence_audit/summary.csv,5,metric;value;target;passes,supporting or audit table
outputs/evidence_audit_1940_2020_seed/period_quota_audit.csv,7,period;usable_attestations;target_attestations;coverage_ratio;meets_half_quota;meets_full_quota,supporting or audit table
outputs/evidence_audit_1940_2020_seed/region_counts.csv,3,key;usable_attestations,supporting or audit table
outputs/evidence_audit_1940_2020_seed/source_type_counts.csv,9,key;usable_attestations,supporting or audit table
outputs/evidence_audit_1940_2020_seed/summary.csv,5,metric;value;target;passes,supporting or audit table
outputs/formation_quota_audit/quota_coverage.csv,13,quota_id;region;years;records;target_records;record_coverage;unique_sources;minimum_unique_sources;source_coverage;example_attestation_ids,supporting or audit table
outputs/formation_quota_audit/summary.csv,3,metric;value,supporting or audit table
outputs/formation_quota_audit_working/quota_coverage.csv,13,quota_id;region;years;records;target_records;record_coverage;unique_sources;minimum_unique_sources;source_coverage;example_attestation_ids,supporting or audit table
outputs/formation_quota_audit_working/summary.csv,3,metric;value,supporting or audit table
outputs/geo_historical/brand_period_semantic_summary.csv,6,brand_or_category;period;attestation_count;binding_rate;mean_geographic_score;mean_nostalgia_score;mean_night_market_score;mean_authenticity_score;mean_platform_fast_food_score,supporting or audit table
outputs/geo_historical/period_corridor_semantic_summary.csv,7,period;corridor;attestation_count;binding_rate;mean_geographic_score;mean_nostalgia_score;mean_night_market_score;mean_authenticity_score;mean_platform_fast_food_score,supporting or audit table
outputs/geo_historical/period_semantic_summary.csv,5,period;attestation_count;binding_rate;mean_geographic_score;mean_nostalgia_score;mean_night_market_score;mean_authenticity_score;mean_platform_fast_food_score,supporting or audit table
outputs/geo_historical_1940_2020/brand_period_semantic_summary.csv,18,brand_or_category;period;attestation_count;binding_rate;mean_geographic_score;mean_nostalgia_score;mean_night_market_score;mean_authenticity_score;mean_platform_fast_food_score,supporting or audit table
outputs/geo_historical_1940_2020/period_corridor_semantic_summary.csv,10,period;corridor;attestation_count;binding_rate;mean_geographic_score;mean_nostalgia_score;mean_night_market_score;mean_authenticity_score;mean_platform_fast_food_score,supporting or audit table
outputs/geo_historical_1940_2020/period_semantic_summary.csv,5,period;attestation_count;binding_rate;mean_geographic_score;mean_nostalgia_score;mean_night_market_score;mean_authenticity_score;mean_platform_fast_food_score,supporting or audit table
outputs/macro_audit/macro_coverage.csv,3,macro_phase;records;target_records;record_coverage;unique_sources;minimum_unique_sources;source_coverage;passes_records;passes_sources,supporting or audit table
outputs/macro_audit/summary.csv,1,metric;value,supporting or audit table
outputs/macro_audit_seed/macro_coverage.csv,3,macro_phase;records;target_records;record_coverage;unique_sources;minimum_unique_sources;source_coverage;passes_records;passes_sources,supporting or audit table
outputs/macro_audit_seed/summary.csv,1,metric;value,supporting or audit table
outputs/macro_audit_working/macro_coverage.csv,3,macro_phase;records;target_records;record_coverage;unique_sources;minimum_unique_sources;source_coverage;passes_records;passes_sources,supporting or audit table
outputs/macro_audit_working/summary.csv,1,metric;value,supporting or audit table
outputs/ownership/historical_attestations_with_ownership.csv,10,attestation_id;year;date;period;brand_or_category;city;province;corridor;source_type;source_name;source_url;attestation_type;text_for_scoring;confidence;notes;analysis_text;token_count;dish_marker_count;taiwan_marker_count;binding_present;matched_dish_markers;matched_taiwan_markers;has_traditional_script_cue;geographic_count;geographic_score;geographic_matched_terms;nostalgia_count;nostalgia_score;nostalgia_matched_terms;night_market_count;night_market_score;night_market_matched_terms;authenticity_count;authenticity_score;authenticity_matched_terms;platform_fast_food_count;platform_fast_food_score;platform_fast_food_matched_terms;ownership_category;capital_origin;founding_place;mainland_entry_year,supporting or audit table
outputs/ownership/period_corridor_ownership_summary.csv,8,period;corridor;ownership_category;attestation_count;binding_rate;mean_geographic_score;mean_nostalgia_score;mean_night_market_score;mean_authenticity_score;mean_platform_fast_food_score,supporting or audit table
outputs/ownership_1940_2020/historical_attestations_with_ownership.csv,25,attestation_id;year;date;period;brand_or_category;city;province;corridor;source_type;source_name;source_url;attestation_type;text_for_scoring;confidence;notes;analysis_text;token_count;dish_marker_count;taiwan_marker_count;binding_present;matched_dish_markers;matched_taiwan_markers;has_traditional_script_cue;geographic_count;geographic_score;geographic_matched_terms;nostalgia_count;nostalgia_score;nostalgia_matched_terms;night_market_count;night_market_score;night_market_matched_terms;authenticity_count;authenticity_score;authenticity_matched_terms;platform_fast_food_count;platform_fast_food_score;platform_fast_food_matched_terms;ownership_category;capital_origin;founding_place;mainland_entry_year,supporting or audit table
outputs/ownership_1940_2020/period_corridor_ownership_summary.csv,16,period;corridor;ownership_category;attestation_count;binding_rate;mean_geographic_score;mean_nostalgia_score;mean_night_market_score;mean_authenticity_score;mean_platform_fast_food_score,supporting or audit table
outputs/seed_consumer_reinterpretation_gap.csv,9,merchant_id;city;shop_name;review_count;binding_present;merchant_geographic_score;consumer_geographic_mean_score;gap_geographic;merchant_nostalgia_score;consumer_nostalgia_mean_score;gap_nostalgia;merchant_night_market_score;consumer_night_market_mean_score;gap_night_market;merchant_authenticity_score;consumer_authenticity_mean_score;gap_authenticity;merchant_platform_fast_food_score;consumer_platform_fast_food_mean_score;gap_platform_fast_food,supporting or audit table
outputs/spatial/city_presence_enriched.csv,29,record_id;brand;category;city;province;area_level;observation_date;first_observed_year;open_store_count;planned_store_count;total_store_count;has_open_presence;has_planned_presence;macro_region;corridor;coastal_status;latitude;longitude;status_basis;source_type;source_url;confidence;notes,supporting or audit table
outputs/spatial/coastal_status_summary.csv,3,brand;first_observed_year;coastal_status;city_records;open_store_count;planned_store_count;total_store_count;coastal_status_share,supporting or audit table
outputs/spatial/corridor_summary.csv,11,brand;first_observed_year;corridor;city_records;open_presence_cities;planned_presence_cities;open_store_count;planned_store_count;total_store_count;corridor_share,supporting or audit table
outputs/spatial_official/city_presence_enriched.csv,28,record_id;brand;category;city;province;area_level;observation_date;first_observed_year;open_store_count;planned_store_count;total_store_count;has_open_presence;has_planned_presence;macro_region;corridor;coastal_status;latitude;longitude;status_basis;source_type;source_url;confidence;notes,supporting or audit table
outputs/spatial_official/coastal_status_summary.csv,3,brand;first_observed_year;coastal_status;city_records;open_store_count;planned_store_count;total_store_count;coastal_status_share,supporting or audit table
outputs/spatial_official/corridor_summary.csv,11,brand;first_observed_year;corridor;city_records;open_presence_cities;planned_presence_cities;open_store_count;planned_store_count;total_store_count;corridor_share,supporting or audit table
outputs/spatial_with_province/city_presence_enriched.csv,32,record_id;brand;category;city;province;area_level;observation_date;first_observed_year;open_store_count;planned_store_count;total_store_count;has_open_presence;has_planned_presence;macro_region;corridor;coastal_status;latitude;longitude;status_basis;source_type;source_url;confidence;notes,supporting or audit table
outputs/spatial_with_province/coastal_status_summary.csv,4,brand;first_observed_year;coastal_status;city_records;open_store_count;planned_store_count;total_store_count;coastal_status_share,supporting or audit table
outputs/spatial_with_province/corridor_summary.csv,12,brand;first_observed_year;corridor;city_records;open_presence_cities;planned_presence_cities;open_store_count;planned_store_count;total_store_count;corridor_share,supporting or audit table
outputs/test_consumer_reinterpretation_gap.csv,1,merchant_id;city;shop_name;review_count;binding_present;merchant_geographic_score;consumer_geographic_mean_score;gap_geographic;merchant_nostalgia_score;consumer_nostalgia_mean_score;gap_nostalgia;merchant_night_market_score;consumer_night_market_mean_score;gap_night_market;merchant_authenticity_score;consumer_authenticity_mean_score;gap_authenticity;merchant_platform_fast_food_score;consumer_platform_fast_food_mean_score;gap_platform_fast_food,supporting or audit table
reports/trend_diagnosis/trend_dashboard.json,1,period;attestations_file;total_records;year_interval;binding_signal;sample_sufficiency;trend_taiwan_domestic;trend_dish_semantic;trend_geo_network;unique_early_corridors;readiness;preliminary_writing_ready;writing_ready;recommendation,trend diagnostic output
reports/trend_diagnosis_current/trend_diagnosis.csv,9,year_bin;binding_index;weight_sum;n_records,trend diagnostic output
reports/trend_diagnosis_current/trend_summary.json,1,period;binding_type;year_interval;number_of_records;number_of_year_bins_with_data;trend_slope;trend_p_value;trend_confidence_interval_low;trend_confidence_interval_high;trend_emerged;stability_rating;effective_n;mean_binding_index;current_ci_half_width;estimated_additional_records_needed;recommendation,trend diagnostic output
reports/trend_diagnosis_current_dashboard/trend_dashboard.json,1,period;attestations_file;total_records;year_interval;binding_signal;sample_sufficiency;trend_taiwan_domestic;trend_dish_semantic;trend_geo_network;unique_early_corridors;readiness;preliminary_writing_ready;writing_ready;recommendation,trend diagnostic output
reports/trend_diagnosis_overlay_001_004/trend_diagnosis.csv,9,year_bin;binding_index;weight_sum;n_records,trend diagnostic output
reports/trend_diagnosis_overlay_001_004/trend_summary.json,1,period;binding_type;year_interval;number_of_records;number_of_year_bins_with_data;trend_slope;trend_p_value;trend_confidence_interval_low;trend_confidence_interval_high;trend_emerged;stability_rating;effective_n;mean_binding_index;current_ci_half_width;estimated_additional_records_needed;recommendation,trend diagnostic output
reports/trend_diagnosis_overlay_001_005/trend_dashboard.json,1,period;attestations_file;total_records;year_interval;binding_signal;sample_sufficiency;trend_taiwan_domestic;trend_dish_semantic;trend_geo_network;unique_early_corridors;readiness;preliminary_writing_ready;writing_ready;recommendation,trend diagnostic output
reports/trend_diagnosis_overlay_unweighted/trend_diagnosis.csv,9,year_bin;binding_index;weight_sum;n_records,trend diagnostic output
reports/trend_diagnosis_overlay_unweighted/trend_summary.json,1,period;binding_type;year_interval;number_of_records;number_of_year_bins_with_data;trend_slope;trend_p_value;trend_confidence_interval_low;trend_confidence_interval_high;trend_emerged;stability_rating;effective_n;mean_binding_index;current_ci_half_width;estimated_additional_records_needed;recommendation,trend diagnostic output
reports/trend_diagnosis_round_006_overlay/trend_dashboard.json,1,period;attestations_file;total_records;year_interval;binding_signal;sample_sufficiency;trend_taiwan_domestic;trend_dish_semantic;trend_geo_network;unique_early_corridors;readiness;preliminary_writing_ready;writing_ready;recommendation,trend diagnostic output
reports/trend_diagnosis_round_007_overlay/trend_dashboard.json,1,period;attestations_file;total_records;year_interval;binding_signal;sample_sufficiency;trend_taiwan_domestic;trend_dish_semantic;trend_geo_network;unique_early_corridors;readiness;preliminary_writing_ready;writing_ready;recommendation,trend diagnostic output
reports/trend_diagnosis_round_011_target_binding/trend_dashboard.json,1,period;attestations_file;total_records;year_interval;binding_signal;sample_sufficiency;trend_taiwan_domestic;trend_dish_semantic;trend_geo_network;unique_early_corridors;readiness;preliminary_writing_ready;writing_ready;recommendation,trend diagnostic output
reports/trend_diagnosis_round_012_target_binding/trend_dashboard.json,1,period;attestations_file;total_records;year_interval;binding_signal;sample_sufficiency;trend_taiwan_domestic;trend_dish_semantic;trend_geo_network;unique_early_corridors;readiness;preliminary_writing_ready;writing_ready;recommendation,trend diagnostic output
reports/trend_diagnosis_v2_overlay_001_005/trend_dashboard.json,1,period;attestations_file;total_records;year_interval;binding_signal;sample_sufficiency;trend_taiwan_domestic;trend_dish_semantic;trend_geo_network;unique_early_corridors;readiness;preliminary_writing_ready;writing_ready;recommendation,trend diagnostic output
reports/trend_diagnosis_v2_weighted_rows_overlay_001_005/trend_dashboard.json,1,period;attestations_file;total_records;year_interval;binding_signal;sample_sufficiency;trend_taiwan_domestic;trend_dish_semantic;trend_geo_network;unique_early_corridors;readiness;preliminary_writing_ready;writing_ready;recommendation,trend diagnostic output
reports/trend_diagnosis_weighted_v2_overlay_001_005/trend_dashboard.json,1,period;attestations_file;total_records;year_interval;binding_signal;sample_sufficiency;trend_taiwan_domestic;trend_dish_semantic;trend_geo_network;unique_early_corridors;readiness;preliminary_writing_ready;writing_ready;recommendation,trend diagnostic output
