period,corridor,n_attestations,lexical_binding_index,branding_binding_index,ownership_binding_index,historical_binding_index
1940-1945_late_colonial_food_order,Taiwan-side,7,1.0000,0.1429,0.0000,0.5357
1940-1987_taiwan_side_formation,Taiwan-side,2,1.0000,0.0000,0.0000,0.5000
1946-1987_taiwan_side_formation,Japan,30,0.8333,0.2333,0.0000,0.4750
1946-1987_taiwan_side_formation,Mainland China,13,0.0000,0.7692,0.0000,0.1923
1946-1987_taiwan_side_formation,Malaysia,1,0.0000,1.0000,0.0000,0.2500
1946-1987_taiwan_side_formation,North America,21,0.8095,0.4286,0.0000,0.5119
1946-1987_taiwan_side_formation,Singapore,94,0.8617,0.9255,0.0000,0.6622
1946-1987_taiwan_side_formation,Taiwan-side,127,1.0000,0.0157,0.0000,0.5039
1950-1978_taiwan_side_popular_food,Taiwan-side,4,0.0000,0.0000,0.0000,0.0000
1979-1987_brand_formalization_and_reopening,Taiwan-side,3,0.0000,0.0000,0.0000,0.0000
1987-2015_cross_strait_diffusion,North China,1,1.0000,0.0000,0.0000,0.5000
1987-2015_cross_strait_diffusion,Singapore,259,1.0000,0.7529,0.0000,0.6882
1987-2015_cross_strait_diffusion,Taiwan-side,127,1.0000,0.8583,0.0000,0.7146
1987-2015_cross_strait_diffusion,Yangtze River Delta,41,1.0000,0.3171,0.0000,0.5793
1988-2001_cross_strait_mobility,Hong Kong,1,1.0000,0.0000,0.0000,0.5000
1988-2001_cross_strait_mobility,North China,3,0.6667,0.0000,0.0000,0.3333
1988-2001_cross_strait_mobility,Taiwan-side,4,0.5000,0.2500,0.0000,0.3125
1988-2001_cross_strait_mobility,Yangtze River Delta,4,0.7500,0.0000,0.0000,0.3750
2002-2013_taiwan_capital_gateway,Japan,3,1.0000,0.0000,0.0000,0.5000
2002-2013_taiwan_capital_gateway,North America,1,1.0000,0.0000,0.0000,0.5000
2002-2013_taiwan_capital_gateway,North China,7,0.7143,0.0000,0.0000,0.3571
2002-2013_taiwan_capital_gateway,Taiwan-side,24,0.8750,0.0833,0.0000,0.4583
2002-2013_taiwan_capital_gateway,Yangtze River Delta,17,0.8235,0.1765,0.0000,0.4559
2014-2020_pre_wanghong_platformization,North China,2,1.0000,0.0000,0.0000,0.5000
2014-2020_pre_wanghong_platformization,Singapore,2,1.0000,0.5000,0.0000,0.6250
2014-2020_pre_wanghong_platformization,Taiwan-side,20,0.8500,0.1500,0.0000,0.4625
2014-2020_pre_wanghong_platformization,Yangtze River Delta,12,0.7500,0.5833,0.0000,0.5208
2014-2020_pre_wanghong_platformization,national,1,1.0000,0.0000,0.0000,0.5000
2015-2025_internet_wanghong_capital,Singapore,5,1.0000,1.0000,0.0000,0.7500
2015-2025_internet_wanghong_capital,Taiwan-side,481,1.0000,0.2848,0.0000,0.5712
2021-2025_internet_wanghong_capital,Central China,1,1.0000,0.0000,0.0000,0.5000
2021-2025_internet_wanghong_capital,Taiwan-side,7,1.0000,0.1429,0.0000,0.5357
2021-2025_internet_wanghong_capital,Yangtze River Delta,13,1.0000,0.3846,0.0000,0.5962
2021-2025_internet_wanghong_capital,national,1,1.0000,0.0000,0.0000,0.5000
out_of_scope,Taiwan-side,9,1.0000,0.1111,0.0000,0.5278
