year_bin,bin_midpoint,positive_rows,negative_rows_available,negative_rows_sampled,sampled_rows,balanced_binding_index,weight_sum,bin_usable_for_balanced_trend
1945,1947.5,1,4,1,2,0.500000,1.5200,1
1950,1952.5,13,4,4,17,0.719309,13.5024,1
1955,1957.5,18,4,4,22,0.793976,16.9398,1
1960,1962.5,12,3,3,15,0.836165,12.6957,1
1965,1967.5,20,3,3,23,0.856822,18.0195,1
1970,1972.5,18,3,3,21,0.854408,17.7208,1
1975,1977.5,9,3,3,12,0.759535,9.6064,1
1980,1982.5,15,3,3,18,0.833295,15.4878,1
1985,1987.5,4,3,3,7,0.575447,5.2931,1
