metric,value
input_csv,working/historical_target_controls_round_011_candidates.csv
total_records,100
missing_fields.year,0
missing_fields.original_text,0
missing_fields.dish_marker,21
missing_fields.taiwan_marker,0
missing_fields.source_url,0
unique_source_refs,79
duplicate_url_groups,12
duplicate_url_ratio,0.1519
duplicate_artifact_groups,0
suspicious_split_groups,0
invalid_year_count,0
invalid_year_ratio,0.0
source_type_distribution.newspaper_archive,29
source_type_distribution.official_tourism_profile,8
source_type_distribution.food_media_retrospective,6
source_type_distribution.brand_history,5
source_type_distribution.food_history_feature,4
source_type_distribution.newspaper_feature,4
source_type_distribution.food_blog,4
source_type_distribution.official_event_page,4
source_type_distribution.local_government_magazine,2
source_type_distribution.food_culture_article,2
source_type_distribution.municipal_profile,2
source_type_distribution.official_product_history,2
corridor_distribution.Taiwan-side,30
corridor_distribution.Japan,22
corridor_distribution.North America,16
corridor_distribution.Singapore,16
corridor_distribution.unknown,12
corridor_distribution.Mainland China,4
top_source_names.NewspaperSG / The Straits Times,9
top_source_names.Kaohsiung Travel,7
top_source_names.Yaba Misen official history,5
top_source_names.Los Angeles Times,5
top_source_names.People's Daily / cn.govopendata,4
top_source_names.The Straits Times / NewspaperSG,4
top_source_names.NewspaperSG / NLB,3
top_source_names.New Nation / NewspaperSG,3
top_source_names.台南旅遊網,3
top_source_names.港区芝地区地域情報誌,2
top_source_names.東京ディープチャイナ研究会,2
top_source_names.TASTE,2
quality_grade,B
