source_1,source_2,source_type_1,source_type_2,count_1,count_2,similarity
https://khh.travel/zh-tw/event/news/4784/,https://aball.tw/shi-sesame-chicken/,official_event_page,food_blog_retrospective,46,1,0.3038
https://khh.travel/zh-tw/event/news/4784/,https://ciaoz.tw/yungtung-milkfish/,official_event_page,food_blog_retrospective,46,1,0.3347
https://khh.travel/zh-tw/event/news/4784/,https://foodintainan.com.tw/uprichdishes/,official_event_page,local_food_media,46,1,0.3508
https://khh.travel/zh-tw/event/news/4784/,https://i17fun.tw/fengshan-salty-rice-moss/,official_event_page,food_media_retrospective,46,1,0.3379
https://khh.travel/zh-tw/event/news/4784/,https://ifoodie.tw/en/post/60b7b416a6272846a04cdde3,official_event_page,food_media_retrospective,46,1,0.3197
https://khh.travel/zh-tw/event/news/4784/,https://ihappyday.tw/blog/post/old-mother-noodle,official_event_page,food_media_retrospective,46,1,0.3366
https://khh.travel/zh-tw/event/news/4784/,https://inmap.tw/archives/69040,official_event_page,food_media_retrospective,46,1,0.3640
https://khh.travel/zh-tw/event/news/4784/,https://journey.tw/chous/,official_event_page,travel_food_retrospective,46,1,0.3027
https://khh.travel/zh-tw/event/news/4784/,https://khh.travel/zh-tw/shop/gourmet/788/,official_event_page,municipal_tourism,46,1,0.3235
https://khh.travel/zh-tw/event/news/4784/,https://nigi33.tw/2014-01-07-387/,official_event_page,food_blog_retrospective,46,1,0.3151
https://www.twtainan.net/file/1792,https://www.twtainan.net/zh-tw/shop/consume/6504/,official_tourism_file,municipal_profile,40,2,0.3061
https://www.twtainan.net/file/1792,https://udn.com/news/story/121721/7331063,official_tourism_file,news_feature,40,2,0.3024
https://www.twtainan.net/file/1792,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19870129-1,official_tourism_file,newspaper_archive,40,1,0.4016
https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19780804-1,newspaper_issue,newspaper_archive,36,2,0.3083
https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19751011-1,newspaper_issue,newspaper_archive,36,2,0.3880
https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19951123-1,newspaper_issue,newspaper_archive,36,2,0.3955
https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20160619-1,newspaper_issue,newspaper_archive,36,2,0.3426
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,newspaper_issue,newspaper_issue,34,34,0.3318
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_issue,newspaper_issue,34,34,0.6505
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,https://khh.travel/file/35/,newspaper_issue,official_food_file,34,10,0.3246
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,https://eresources.nlb.gov.sg/newspapers/Digitised/Issue/newpaper20081215-1,newspaper_issue,newspaper_issue,34,2,0.3107
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_issue,newspaper_issue,34,34,0.7046
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,https://www.twtainan.net/file/1803/,newspaper_issue,official_food_competition_file,34,32,0.3293
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,https://twtainan.net/file/29163/,newspaper_issue,official_promotion_file,34,20,0.3321
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19890131-1,newspaper_issue,newspaper_issue,34,13,0.3115
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,https://www.twtainan.net/file/705/,newspaper_issue,official_itinerary_file,34,10,0.3230
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,https://khh.travel/file/35/,newspaper_issue,official_food_file,34,10,0.3285
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19951123-1,newspaper_issue,newspaper_archive,34,2,0.3449
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,https://eresources.nlb.gov.sg/newspapers/Digitised/Issue/newpaper20081215-1,newspaper_issue,newspaper_issue,34,2,0.3363
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,https://www.twtainan.net/file/1803/,newspaper_issue,official_food_competition_file,34,32,0.3234
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,https://twtainan.net/file/29163/,newspaper_issue,official_promotion_file,34,20,0.3261
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,https://www.twtainan.net/file/705/,newspaper_issue,official_itinerary_file,34,10,0.3174
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,https://khh.travel/file/35/,newspaper_issue,official_food_file,34,10,0.3227
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19951123-1,newspaper_issue,newspaper_archive,34,2,0.3338
https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,https://eresources.nlb.gov.sg/newspapers/Digitised/Issue/newpaper20081215-1,newspaper_issue,newspaper_issue,34,2,0.3084
https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/event/newsdetail/6619/,official_food_competition_file,official_event_page,32,22,0.5087
https://www.twtainan.net/file/1803/,https://twtainan.net/file/29163/,official_food_competition_file,official_promotion_file,32,20,0.8178
https://www.twtainan.net/file/1803/,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,official_food_competition_file,official_cuisine_index,32,15,0.4502
https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/shop/consume/1161/,official_food_competition_file,official_tourism_profile,32,12,0.3439
https://www.twtainan.net/file/1803/,https://www.taipeitimes.com/News/biz/archives/2001/08/24/0000099981,official_food_competition_file,newspaper_article,32,12,0.4767
https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/event/newsdetail/7851/,official_food_competition_file,official_event_page,32,11,0.4810
https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/shop/consume/1589/,official_food_competition_file,official_tourism_profile,32,11,0.6532
https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/shop/consume/1061/,official_food_competition_file,official_tourism_profile,32,11,0.5202
https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/shop/consume/1670/,official_food_competition_file,official_tourism_profile,32,11,0.7507
https://www.twtainan.net/file/1803/,https://twtainan.net/zh-tw/shop/consume/8408/,official_food_competition_file,official_tourism_profile,32,11,0.6307
https://www.twtainan.net/file/1803/,https://www.twtainan.net/file/705/,official_food_competition_file,official_itinerary_file,32,10,0.5903
https://www.twtainan.net/file/1803/,https://khh.travel/file/35/,official_food_competition_file,official_food_file,32,10,0.4352
https://www.twtainan.net/file/1803/,https://www.twtainan.net/only-for-member/zh-tw/shop/consume/8378,official_food_competition_file,official_tourism_profile,32,10,0.6223
https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/event/newsdetail/6623/,official_food_competition_file,official_event_page,32,10,0.7919
https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/event/newsdetail/6117/,official_food_competition_file,official_event_page,32,10,0.3666
https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/event/newsdetail/6201/,official_food_competition_file,official_event_page,32,10,0.3686
https://www.twtainan.net/file/1803/,https://khh.travel/zh-tw/shop/gourmet/1138,official_food_competition_file,official_tourism_profile,32,10,0.5314
https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/attractions/detail/6051/,official_food_competition_file,official_attraction_profile,32,10,0.4858
https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/district/1/,official_food_competition_file,official_district_page,32,10,0.3694
https://www.twtainan.net/zh-tw/event/newsdetail/4452/,https://i17fun.tw/fengshan-salty-rice-moss/,official_event_page,food_media_retrospective,28,1,0.3117
https://www.twtainan.net/zh-tw/event/newsdetail/4452/,https://ifoodie.tw/en/post/60b7b416a6272846a04cdde3,official_event_page,food_media_retrospective,28,1,0.3087
https://www.twtainan.net/zh-tw/event/newsdetail/4452/,https://khguide.com/%E9%98%BF%E8%8B%B1%E6%8E%92%E9%AA%A8%E9%A3%AF/,official_event_page,food_blog_retrospective,28,1,0.3187
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newpaper20081215-1,official_event_page,newspaper_issue,27,23,0.3404
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://twtainan.net/file/29163/,official_event_page,official_promotion_file,27,20,0.7319
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19890131-1,official_event_page,newspaper_issue,27,13,0.3585
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://www.twtainan.net/zh-tw/shop/consume/1161/,official_event_page,official_tourism_profile,27,12,0.4899
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,official_event_page,street_food_history_article,27,12,0.4588
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://www.uni-president.com.cn/download/en_20140530202453.pdf,official_event_page,corporate_prospectus,27,12,0.4518
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://www.want-want.com/en/about/,official_event_page,corporate_history,27,12,0.4745
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://www.taipeitimes.com/News/biz/archives/2001/08/24/0000099981,official_event_page,newspaper_article,27,12,0.5440
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://snackemp.com/wp-content/uploads/2019/09/EW01843_IPO.pdf,official_event_page,corporate_prospectus,27,12,0.4583
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://www.twtainan.net/only-for-member/zh-tw/shop/consume/1118,official_event_page,official_tourism_profile,27,11,0.6351
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://www.twtainan.net/zh-tw/event/newsdetail/7851/,official_event_page,official_event_page,27,11,0.5229
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://www.twtainan.net/zh-tw/shop/consume/1589/,official_event_page,official_tourism_profile,27,11,0.4724
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://www.twtainan.net/zh-tw/shop/consume/1061/,official_event_page,official_tourism_profile,27,11,0.8221
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://www.twtainan.net/zh-tw/shop/consume/1670/,official_event_page,official_tourism_profile,27,11,0.5964
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://twtainan.net/zh-tw/shop/consume/8408/,official_event_page,official_tourism_profile,27,11,0.8221
https://www.twtainan.net/zh-tw/event/newsdetail/7063/,https://www.twtainan.net/file/705/,official_event_page,official_itinerary_file,27,10,0.4889
